Module name,Module size,Number of CN,Number of RN,Number of axioms
RenalPelvis,6134,5813,316,30232
CampylobacterJejuni,246,155,86,740
ProstheticHeart,6134,5813,316,30232
SpiralFracture,6182,5857,320,30409
Onychodystrophy,167,94,68,526
SoundGeneratorDevice,31,17,10,70
TransientIschaemicAttack,6301,5964,332,30900
PyrimidineSynthesis,54,25,24,130
Linognathus,82,51,26,220
IndexDrugMonograph,43,20,18,97
MetazoalInfectionLesion,174,109,60,555
InorganicRole,12,8,0,23
JointDislocation,6139,5818,316,30255
TransluminalBalloonCatheter,104,55,44,281
CountryOfOrigin,13,9,0,26
HodgkinsDisease,6206,5881,320,30529
Incubating,33,18,10,72
UpperRightTooth,6134,5813,316,30232
BrainElectricPotential,6134,5813,316,30232
PolymerFumes,61,31,26,143
Operability,14,10,0,30
CalcaneusTendon,6134,5813,316,30232
MaternalGrandmother,14,10,0,29
VerySevereSeverity,49,22,22,117
Methixene,41,23,14,95
CardiogenicShock,6167,5836,326,30339
ReflexMuscleContractionProcess,6228,5905,318,30610
Propranolol,41,23,14,95
BNFChapter1_7Section,61,32,24,155
GeneralisedParaesthesia,6165,5842,318,30365
Ruthenium,34,20,10,79
ProximalEpiphysealCartilageOfUlna,6134,5813,316,30232
Radians,11,7,0,20
Pancreatitis,6263,5942,316,30757
percentageOfTotalBodyArea,11,7,0,20
organExtendedRadical,19,15,0,45
OccipitalLobeExtraDuralSpace,6134,5813,316,30232
Sertraline,41,23,14,95
Polydypsia,84,43,36,221
Common,47,20,22,110
ThoracicSectionOfExtraduralSpace,6134,5813,316,30232
PalpablePulse,6289,5960,324,30851
BoneMass,6143,5818,320,30258
DiureticAgent,6168,5841,322,30357
PhenoxymethylpenicillinPotassium,76,35,36,180
SpermaticVein,6135,5814,316,30235
AbstractState,13,9,0,27
EyePain,6231,5910,316,30634
millimetres,11,7,0,20
ScheieSyndrome,6571,6226,340,32062
Acromegaly,6292,5955,332,30845
SulconazoleNitrate,41,23,14,95
AbnormalFecalFlow,6134,5813,316,30232
DirectAnastomosisProcess,150,97,48,464
CentralNeuropathy,6134,5813,316,30232
CardiacMuscleContractionProcess,6217,5894,318,30565
lowLevel,17,13,0,39
ReducedBodyTemperature,6162,5835,322,30342
Plant,74,43,26,192
OccipitalPlexus,6135,5814,316,30236
SymptomOfSweating,6145,5822,318,30277
RightColicVein,6134,5813,316,30232
ExternalIliacArtery,6134,5813,316,30232
PlexusFemoralis,6135,5814,316,30236
SilverSulphadiazine,41,23,14,95
HilumOfAdrenalGland,6134,5813,316,30232
PosteriorTibialVenaeCommitante,6134,5813,316,30232
AxillaryTailOfBreast,6134,5813,316,30232
Trephine,6170,5839,326,30354
Conscientious,146,89,52,403
Fermium,30,16,10,66
NAMEDNeckBodyPart,48,30,14,124
UrinaryIncontinenceSymptom,6134,5813,316,30232
AngularPlate,89,44,40,232
EndometrialRegeneration,6136,5815,316,30239
Captopril,41,23,14,95
PosteriorLacrimalCrest,6134,5813,316,30232
Antioestrogen,42,24,14,100
NephroticSyndrome,6421,6082,334,31398
Glossitis,6263,5942,316,30757
Extension,16,11,0,33
NucleusPulposusHernia,6156,5835,316,30319
Husband,127,78,44,350
ComponentOfRenalPelvis,6134,5813,316,30232
ConoidLigament,6134,5813,316,30232
SprayDevice,42,23,14,96
RenalCatheter,6152,5825,322,30292
VideoTape,45,26,14,106
HighFatDiet,135,68,62,353
SodiumAlkylsulphoacetate,90,45,40,231
AutonomicNerveFibre,6134,5813,316,30232
BodyFallingForwardSensation,6137,5816,316,30241
HeartValveDiseaseProcess,164,105,54,491
CricothyroidMuscle,6134,5813,316,30232
FacialHyperpigmentation,6152,5825,322,30295
KneeJointLockingProcess,6410,6075,330,31356
DeepPeronealNerve,6135,5814,316,30242
WeightControl,6163,5838,320,30348
voluntary,16,12,0,36
Bilin,30,16,10,66
Diverticulum,81,44,32,230
ThirdDorsalInterosseusMuscleOfHand,6134,5813,316,30232
PremenopausalPeriod,106,55,46,275
tubular,20,16,0,48
NAMEDLimbJoint,6134,5813,316,30232
Chiroptera,83,52,26,220
DorsalVeinOfFoot,6134,5813,316,30232
ClostridiumHistolyticum,198,109,84,560
Repelling,12,7,0,21
Indoramin,41,23,14,95
BNFSection10_1_4,68,39,24,188
BNFSection10_1_3,68,39,24,188
RotationExtentState,14,10,0,30
genuineNegativeInvestigationResultStatus,14,10,0,29
Araneida,80,49,26,212
MaternalImmuneSystem,305,194,106,935
Surprise,146,89,52,403
BarbiturateGroup,31,17,10,70
RaisedMacrocyteCount,6249,5914,330,30673
Foramen,98,59,34,277
overlappingStatus,12,8,0,23
Cranberry,59,33,22,141
nanometres,11,7,0,20
RetinolAcetate,33,19,10,75
CorynebacteriumXerosis,184,107,72,521
AcuteRheumaticPancarditis,6309,5984,320,30932
InfarctingProcess,49,28,16,131
AlcoholicLotionBasicDrugForm,63,28,30,150
Perissodactyla,83,52,26,220
BNFSection10_1_2,68,39,24,188
BNFSection10_1_1,68,39,24,188
MidMorning,17,13,0,38
Lutra,86,55,26,229
Cast,43,24,14,100
BiochemicalAbnormality,6134,5813,316,30232
PosteriorCuspOfAorticValve,6134,5813,316,30232
ForearmSymptom,6134,5813,316,30232
LocalTissueReaction,6136,5815,316,30239
SpruceTree,82,51,26,217
MidRightHeartAtrium,6153,5832,316,30307
UteroSacralLigament,6134,5813,316,30232
Bruise,6200,5879,316,30507
HilumOfLung,6134,5813,316,30232
MiddlePhalanxOfSecondToe,6134,5813,316,30232
Ipecacuanah,41,23,14,95
BNFSection12_2,61,32,24,155
Platyhelminth,121,76,40,367
BNFSection12_1,61,32,24,155
KaolinAsDrug,60,34,22,146
ElasticTissue,56,30,22,132
ClusterHeadache,6271,5942,324,30782
PartialSeizure,6158,5835,318,30324
moreThan40Percent,16,12,0,35
ClassicMigraine,6435,6098,332,31465
BleedingDisorder,6138,5817,316,30249
HaemopoieticOrgan,6134,5813,316,30232
OcularItching,6141,5820,316,30266
DrugIndicatedClinicalEffect,33,18,10,72
EthmoidLacrimalSuture,6134,5813,316,30232
ResinHardeningDevice,90,45,40,232
ClofibrateChemical,60,23,32,134
LevatorProstataeMuscle,6134,5813,316,30232
Herpestidae,85,54,26,226
AnkleSymptom,6134,5813,316,30232
BNFSection12_3,63,34,24,165
PallorSymptom,6158,5835,318,30323
RaisedSerumTriiodothyronineConcentration,6184,5855,324,30417
Stiffening,13,8,0,24
ElastosisLesion,133,76,52,420
SputumSymptom,6149,5828,316,30297
rotationallySymmetrical,18,14,0,42
Protriptyline,74,33,36,174
IntraThoracicSystemicVein,6134,5813,316,30232
AnticoagulantTherapy,16,11,0,34
Penis,6134,5813,316,30232
NonNormalSizedHandSymptom,6177,5852,320,30393
Fluorescein,41,23,14,95
SulphonamideGroup,31,17,10,70
Guaiphenesin,41,23,14,95
SubvalvularAorticStenosisLesion,6170,5847,318,30372
BloodSample,6152,5825,322,30289
Propionibacterium,180,103,72,507
SkinOfCranialVertex,6134,5813,316,30232
OxprenololHydrochloride,42,24,14,98
Lipoprotein,39,21,14,89
ExcessiveUse,11,6,0,18
NonSpecificSymptomRole,13,9,0,26
GrapefruitJuice,103,52,46,266
ChloralBetaine,42,24,14,98
AnteriorPalatineNerve,6135,5814,316,30236
NAMEDCardiovascularSystemDiseaseProcess,6135,5814,316,30235
OestrogenDependentCancer,6136,5815,316,30239
metallicTasting,15,11,0,33
EjectionSystolicMurmur,45,28,12,106
LowerLobeOfLeftLung,6134,5813,316,30232
FourthIntercostalNerve,6135,5814,316,30235
SquillOxymel,41,23,14,95
BNFSection8_1_2,63,34,24,165
VesicouretericReflux,6276,5943,328,30808
SerumAmylaseConcentration,6159,5836,318,30328
AlarLigament,6135,5814,316,30237
BNFSection8_1_3,63,34,24,165
RenalPlexus,6135,5814,316,30236
ChristianReligion,13,9,0,26
BNFSection8_1_1,63,34,24,165
LingualNerve,6134,5813,316,30232
BNFSection8_1_4,63,34,24,165
Sorcidae,84,53,26,223
BNFSection8_1_5,63,34,24,165
reusable,16,12,0,36
HydroxychloroquineSulphate,41,23,14,95
Quadrantanopia,6270,5937,328,30782
EpiduralHaematoma,6191,5868,318,30466
Adminstration,11,6,0,18
Vaginismus,6239,5916,318,30656
IonicOrNonIonicState,15,11,0,33
PassiveDrugAdditiveRole,12,8,0,23
StateOrQuantity,10,6,0,18
RenalImpairment,6187,5856,326,30432
UrgeToVoidUrine,6138,5817,316,30245
Torasemide,41,23,14,95
BranchOfVestibulocochlearNerve,6134,5813,316,30232
NecrosisLesion,134,77,52,425
UrinaryRetention,6156,5833,318,30322
Loxapine,41,23,14,95
MarkedPersonalityDisorder,200,127,68,592
ComponentOfAdenohypophysis,6134,5813,316,30232
Pethidine,76,35,36,182
KidneyExamination,6275,5954,316,30807
LabialSurfaceOfAnteriorTooth,6167,5844,318,30380
ProximalInterphalangealJointOfLittleFinger,6134,5813,316,30232
Tendonitis,6263,5942,316,30757
AphthousUlcer,6263,5932,326,30730
PharyngealDivisionOfVagusNerve,6134,5813,316,30232
LowerPoleOfTestis,6145,5824,316,30275
Phenethicillin,75,34,36,177
SeaLilly,81,50,26,214
UrethralDischarge,6155,5834,316,30323
SoildDivisionOfTooth,6134,5813,316,30232
IntermittentSignalMorphology,14,10,0,30
BNFSection4_11,57,28,24,136
BNFSection4_10,57,28,24,136
SerumProlactinConcentration,6159,5836,318,30328
VitaminEDeficiencyState,135,76,54,376
NonNormalSkinColouration,6139,5818,316,30252
moderatelyIncreased,18,14,0,42
Immediacy,13,9,0,27
CisternaAmbiens,6134,5813,316,30232
WeightIncreasingDiet,6189,5858,326,30453
HereditaryAngioedema,6186,5865,316,30442
CerebralHemisphere,6134,5813,316,30232
ExtensorPollicisBrevis,6134,5813,316,30232
SoleOfFoot,6134,5813,316,30232
Albumin,40,22,14,92
OedemaOfTrunk,6178,5857,316,30411
SuperiorParathyroidGland,6134,5813,316,30232
ReasoningProcess,6137,5816,316,30244
FirstStageOfLabour,67,30,32,161
InvestigationResultStatus,12,8,0,23
AudioCassette,45,26,14,106
CysticDuct,6134,5813,316,30232
MiddleCervicalGanglion,6135,5814,316,30235
PrematureLabour,315,198,112,957
SecondDegreeAVBlock,6272,5937,330,30785
ForearmOedemaSymptom,6178,5857,316,30411
L5Dermatome,6134,5813,316,30232
PyrimidineDegradation,54,25,24,130
exactlyPaired,13,9,0,26
LyssaVirus,76,45,26,199
Cardomom,41,23,14,95
ComponentOfUterineCervix,6134,5813,316,30232
VertebralPedicle,6134,5813,316,30232
HypersensitivityReaction,98,57,36,283
SubscapularLymphnode,6134,5813,316,30232
obligateAerobic,16,12,0,36
UterineHypertonia,6241,5910,326,30647
ClobetasolPropionate,75,34,36,177
TrapezoidLigament,6135,5814,316,30235
NedocromilSodium,75,34,36,177
CarcinomatousInvasionLesion,145,84,56,457
Fertilisation,57,28,24,137
EfferentFibre,6135,5814,316,30235
AnteriorMitralChordae,6134,5813,316,30232
VarixLesion,189,112,72,575
MonobactamChemicalAsDrug,73,32,36,170
OrbitalSulcus,6134,5813,316,30232
Timolol,41,23,14,95
SurgicalKinking,36,21,10,81
BurningParaesthesia,6259,5936,318,30745
VonWillebrandDisease,92,51,36,260
Junior,15,11,0,33
Thiomersal,39,21,14,88
SalmonellaCholeraeSuis,238,149,84,714
PterygoidPlexus,6135,5814,316,30235
MalignantNeoplasticProcess,94,49,40,257
LecithinAsDrug,44,26,14,105
CervicalCanal,6134,5813,316,30232
IneffectiveProcess,69,32,32,177
BartonellaHenselae,111,66,40,306
NotPyramidalTract,6139,5818,316,30253
AberrantPathwayActivity,6139,5818,316,30254
AsparticAcid,41,23,14,95
MovementDisorder,6134,5813,316,30232
LowerLimbPain,6231,5910,316,30634
DiphenylbutylpiperidineChemicalAsDrug,71,30,36,164
Norgestimate,90,49,36,235
Pilocarpine,41,23,14,95
AccessoryCephalicVein,6134,5813,316,30232
VaginalSpasm,6239,5916,318,30656
NonNormallyLargeToe,170,105,60,507
StrongylusRadiatus,125,80,40,380
SkinDiscoloration,6158,5835,318,30325
nonGeneticRelativeDonor,14,10,0,29
SympatheticNerveFibre,6134,5813,316,30232
microseconds,11,7,0,20
EsmololHydrochloride,42,24,14,98
SuperiorHypophysealArtery,6134,5813,316,30232
VitreousMembrane,6134,5813,316,30232
Hypromellose,41,23,14,95
ImplantablePlug,78,41,32,204
BNFSection15_1_8,70,41,24,199
BNFSection15_1_6,70,41,24,199
BNFSection15_1_7,70,41,24,199
NormalPhenomenon,25,11,10,50
FineDiameter,16,12,0,36
SeromuscularLayer,6134,5813,316,30232
PatellarPlexus,6135,5814,316,30235
ReusableSurgicalDevice,80,39,36,202
EyeWateringSymptom,6202,5871,326,30495
BNFSection15_1_1,70,41,24,199
CharacterisationOfMicroscopicStructure,79,38,36,198
RRInterval,6233,5894,334,30599
CavitationProcess,48,27,16,126
BNFSection15_1_4,70,41,24,199
FascialCompartment,146,87,54,439
BodyStructureSegment,42,18,20,94
BNFSection15_1_5,70,41,24,199
RomanoWardSyndrome,6279,5928,346,30759
USGallon,11,7,0,20
BNFSection15_1_2,70,41,24,199
CardiacValveProsthesis,6134,5813,316,30232
Aardwolf,87,56,26,232
BNFSection15_1_3,70,41,24,199
LateralPlantarArtery,6134,5813,316,30232
ArterialPathology,6134,5813,316,30232
BacampicillinHydrochloride,76,35,36,180
moreThan95Percent,28,24,0,71
RectalDischargeSymptom,6155,5834,316,30323
days,11,7,0,20
BoneMarrowHyperplasia,6159,5836,318,30326
ChemicalStateState,14,10,0,30
DecreasedRespiratoryRate,6282,5953,324,30816
DigestiveSystem,6134,5813,316,30232
RhabditisHominis,124,79,40,377
CaseatingProcess,49,28,16,131
indefinitelyMultiple,13,9,0,26
LevelOfHealthState,14,10,0,30
EpiphysealClosure,6138,5817,316,30248
BrainDamage,6161,5840,316,30345
lessThan20Percent,25,21,0,62
UncusOfTemporalLobe,6134,5813,316,30232
impalpable,16,12,0,36
LateralCutaneousNerveOfForearm,6136,5815,316,30245
InducedCardiacArrest,6306,5973,328,30922
AlphaGlucosidase,41,23,14,95
Zygomycota,112,67,40,309
SignalMorphology,13,9,0,27
ParsNervosaOfRetina,6134,5813,316,30232
ChronicEnamelCaries,6149,5826,318,30285
Carmustine,74,33,36,174
GlutealFascia,6135,5814,316,30235
ColostomyStructure,6214,5891,318,30553
relativeContraindication,15,11,0,32
Ginkgos,78,47,26,204
WaardenburgSyndrome,92,51,36,260
ChemicalReduction,16,11,0,33
Egregiousness,147,90,52,406
CoronaryVasodilatation,6189,5862,322,30440
Ocelot,87,56,26,232
UpperRespiratoryInflammation,6263,5942,316,30757
MenstrualCycle,6200,5877,318,30512
InabilityToStandOrSitUprightFor30Minutes,142,85,52,387
Haemadipsa,122,77,40,370
PharyngealMucousMembrane,6134,5813,316,30232
ExtremeMentalExcitation,176,109,62,492
HypertrophicObstructiveCardiomyopathy,6271,5938,328,30759
Prenylamine,41,23,14,95
BindingDevice,42,23,14,97
MinocyclineHydrochloride,75,34,36,177
CalciumPantothenate,91,46,40,234
Dantrolene,41,23,14,95
JointMeniscus,6134,5813,316,30232
Telomere,31,17,10,70
StreptokinaseAsActiveDrugAdditive,6200,5877,318,30492
Trichurius,123,78,40,374
ExaminingProcess,12,7,0,21
RightLowerFirstMolar,6141,5820,316,30259
anteriorly,17,13,0,39
ProductOfConception,277,172,100,832
DemineralizationLesion,77,40,32,214
FungiformLingualPapilla,6134,5813,316,30232
ThirdGenerationCephalosporinChemical,63,26,32,144
PhenoperidineHydrochloride,41,23,14,95
liquidEmulsionDrugForm,17,13,0,39
LateralMyocardium,6136,5815,316,30239
GlycosylatedHemoglobinConcentration,6179,5854,320,30401
Dicrocoelium,123,78,40,374
PelvicCavityExamination,6275,5954,316,30807
ReversibleIdiopathicThrombocytopenia,6182,5849,328,30400
FemaleExternalGenitalia,6134,5813,316,30232
Acitretin,41,23,14,95
Tacrolimus,74,33,36,174
TransverseProcessOfLumbarVertebra,6134,5813,316,30232
StriatedMuscleContractionProcess,6217,5894,318,30565
PulmonaryAtresiaWithVentricularSeptalDefect,6323,5986,332,30995
Hypergammaglobulinaemia,6209,5880,324,30517
PrematureEjaculation,6143,5820,318,30263
LowDose,16,11,0,34
CapillaryEctasia,6292,5957,330,30843
SubstitutedBenzamideChemicalAsDrug,71,30,36,164
Exteriorising,13,8,0,24
RipsteinMethod,33,18,10,71
SerumKetoneConcentration,6162,5839,318,30339
CalibratedTuningFork,60,29,26,147
Cellulose,32,18,10,72
InferiorThyroidPlexus,6135,5814,316,30235
T8Dermatome,6134,5813,316,30232
MaltreatmentAct,83,44,34,228
NonNormalChangeInSize,69,34,30,182
Retaining,39,22,12,95
SuperficialArteryOfLowerExtremity,6134,5813,316,30232
T10T11IntervertebralSpace,6134,5813,316,30232
Psychosis,6140,5817,318,30258
UretericPlexus,6135,5814,316,30236
Hepatitis,6263,5942,316,30757
LocalBurningParaesthesia,6268,5943,320,30773
ButriptylineHydrochloride,41,23,14,95
HumanClottingFactorIXConcentrate,76,39,32,192
PolychromaticMegaloblast,6137,5816,316,30241
CardiacInsufficiencyFollowingCardiacSurgery,6310,5975,330,30947
ReflexRole,11,7,0,20
UnstableElbowJoint,6174,5847,322,30388
MeniereDisease,6328,5993,330,31031
LeftInferiorPulmonaryVein,6134,5813,316,30232
Phytomenadione,32,17,10,70
InterphalangealJointOfThirdToe,6134,5813,316,30232
separatedMaritalStatus,13,9,0,26
BacterialPharyngitis,6312,5989,318,30949
Cannula,90,51,34,245
GeneralSurgery,16,12,0,36
DeviceByPhenomenon,37,18,14,85
PulmonaryOedema,6178,5857,316,30411
Deer,88,57,26,235
PoliticalState,12,8,0,23
BursaOfUpperLimb,6134,5813,316,30232
Nitrofurazone,41,23,14,95
RheumaticEndocarditis,6280,5959,316,30823
Buprenorphine,76,35,36,182
ImpreciseNumberValueType,6,2,0,5
Neuroepithelium,6134,5813,316,30232
Neisseria,236,147,84,707
PneumocystisCarinii,120,75,40,365
CommonPeronealNerve,6137,5816,316,30250
abandonedChildChildhildhoodStatus,13,9,0,26
PathologicalHypoCalcaemia,6210,5877,328,30513
OrciprenalineSulphate,42,24,14,98
ReceptionistRole,11,7,0,20
PerforatingLesion,178,111,62,567
Rifamycin,41,23,14,95
Metaphysis,6134,5813,316,30232
Alkaloid,30,16,10,66
PelvicFloor,6134,5813,316,30232
SkinOfLittleFinger,6134,5813,316,30232
ThoracicCordMeninges,6134,5813,316,30232
MaxillaryArtery,6134,5813,316,30232
HashimotoThyroiditis,6447,6106,336,31470
Mustelidae,85,54,26,226
Reconstituting,14,9,0,27
ProximalMetaphysisOfFemur,6134,5813,316,30232
SoltaryOsseousMyeloma,6215,5890,320,30559
GenioglossusMuscle,6135,5814,316,30235
ComponentOfProstate,6134,5813,316,30232
ExcipientDrugIngredient,37,19,14,82
Adapalene,47,29,14,116
ViralSkinLesion,6170,5847,318,30369
ActiveAbsorption,6135,5814,316,30236
TwinPregnancy,308,193,110,938
Nicardipine,72,31,36,167
PartOfExternalSurfaceOfBody,99,50,44,269
Ferret,87,56,26,232
MedialBodyWall,104,53,46,270
IneffectiveCardiacFunction,6280,5947,328,30834
WeakImmuneResponse,112,63,44,316
MineralOil,41,23,14,95
JuxtaCranialInternalCarotidArtery,6134,5813,316,30232
ProcessFeature,11,7,0,21
PalpebralLigament,6134,5813,316,30232
Levonorgestrel,90,49,36,235
LowLymphocyteCount,6168,5837,326,30349
Eyebrow,6134,5813,316,30232
CrownOfLowerTooth,6134,5813,316,30232
SertralineHydrochloride,42,24,14,98
SkinOfPubis,6134,5813,316,30232
Bauxite,56,30,22,132
KidneyPain,6231,5910,316,30634
PropranololHydrochloride,42,24,14,98
ReticuloendothelialSystem,6134,5813,316,30232
PartOfSkinOfFace,6134,5813,316,30232
CorynebacteriumDiphtheriae,184,107,72,521
squareMillimetres,11,7,0,20
Mirtazapine,41,23,14,95
LifecycleDiseaseStage,14,10,0,30
Trochanter,6134,5813,316,30232
VoluntaryEating,65,30,30,157
DysplasticProcess,82,43,34,227
Salmon,82,51,26,217
MaltWorkerRole,11,7,0,20
CirculatoryIrregularity,6144,5823,316,30276
granuleDrugForm,18,14,0,42
BloodFlow,6134,5813,316,30232
lollipopDrugForm,17,13,0,39
ChloroquinePhosphate,42,24,14,98
RetrocavalUreter,6134,5813,316,30232
RemovingDevice,40,21,14,90
CardiovascularSystem,6134,5813,316,30232
Poractant,41,23,14,95
Nephropathy,6134,5813,316,30232
DopamineReceptor,32,18,10,72
BNFSection2_6_2,65,36,24,174
Ganglioside,33,19,10,75
SurgicalDiameterDecreasing,58,29,24,141
BNFSection2_6_1,65,36,24,174
BNFSection2_6_4,65,36,24,174
MedialMamillaryBodyNucleus,6137,5816,316,30244
BNFSection2_6_3,65,36,24,174
BNFChapter8_3Section,66,37,24,179
XLinkedDominantInheritedPathology,76,39,32,202
paradoxicalStatus,12,8,0,23
Pholidota,83,52,26,220
ReproductiveFunction,55,26,24,131
Practolol,41,23,14,95
Spongiae,79,48,26,208
CerebralInfarct,6161,5840,316,30345
CellDedifferentiation,98,49,44,257
Nanocephalia,6167,5836,326,30346
Cloaca,101,62,34,288
UlnarArtery,6134,5813,316,30232
swabDrugForm,17,13,0,39
PowerGeneratorDevice,33,19,10,76
TubularBodyStructure,96,57,34,270
TouchSignal,6138,5817,316,30248
Plugging,43,24,14,101
SkinDiscolorationSymptom,6158,5835,318,30325
ComponentOfLaryngoPharynx,6134,5813,316,30232
Fabella,6134,5813,316,30232
NonNormalSizedEar,6177,5852,320,30393
BNFSection13_13,57,28,24,136
butterflyFracture,17,13,0,39
CongenitalExophthalmos,6140,5819,316,30257
SeminalVesicle,180,109,66,519
BNFSection13_14,57,28,24,136
ExternalPudendalVein,6134,5813,316,30232
AscendingColon,6134,5813,316,30232
BNFSection13_10,66,37,24,179
Clementine,60,34,22,144
BNFSection13_11,65,36,24,175
BNFSection13_12,57,28,24,136
Chlorpropamide,74,33,36,174
LateralBasalLeftHeartVentricle,6134,5813,316,30232
HardPalate,6134,5813,316,30232
Phaeoannellomyces,114,69,40,315
RheumaticTricuspidValveFailure,6287,5954,328,30850
NAMEDMolecularMovementProcess,13,8,0,24
Jaundice,6212,5881,326,30527
DrugAbsoluteContraindication,34,19,10,77
ConnectiveTissueCell,6134,5813,316,30232
MassDecreasing,41,18,18,94
Physostigmine,41,23,14,95
kinked,18,14,0,42
Diphtheria,289,186,98,935
Septicaemia,6182,5857,320,30413
ThyroxineSodium,43,25,14,101
TerpinHydrate,41,23,14,95
MultinodularGoitre,6180,5857,318,30419
LowerDivisionOfOculomotorNerve,6134,5813,316,30232
milliMolPerLiter,11,7,0,20
SulphonylureaAsDrug,72,31,36,167
FractionalRange,7,3,0,8
InferiorArticularProcessOfVertebra,6134,5813,316,30232
SkinOfGroin,6134,5813,316,30232
Sulphamethoxazole,74,33,36,174
CopperAsDrug,46,28,14,112
ProstheticSeptalPatch,120,67,48,327
Valvotomy,139,82,52,395
ArchOfAtlas,6134,5813,316,30232
BranchOfOphthalmicDivisionOfTrigeminalNerve,6134,5813,316,30232
ToothPart,6134,5813,316,30232
PalpableAbnormality,77,40,32,202
Delphinidae,85,54,26,226
ConjunctivalHyperaemia,6136,5815,316,30238
DominanceState,15,11,0,33
NinthThoracicVertebra,6134,5813,316,30232
OlecranonBursa,6134,5813,316,30232
Trospium,41,23,14,95
PotassiumSulphate,90,45,40,231
SignalMorphologyState,15,11,0,33
LaxativeAbuse,6144,5823,316,30286
TemporalLengtheningProcess,13,8,0,24
SegmentOfInferiorVenaCava,6134,5813,316,30232
UraemicAcidosis,42,25,12,104
CoracoidProcess,6134,5813,316,30232
SerumLDLCholesterol,6141,5820,316,30258
AbdominalPain,6231,5910,316,30634
Rhenium,34,20,10,79
NegativeFamilyHistory,23,9,10,44
organTotal,17,13,0,39
HypersensitivityToQuinagolide,113,68,40,325
CortisolOverload,6184,5855,324,30417
AntiandrogenicHormone,42,24,14,100
Grasshopper,81,50,26,216
LeftAuricularAppendage,6134,5813,316,30232
BrocasArea,6147,5826,316,30283
NAMEDDisorder,46,25,16,120
convalescent,15,11,0,33
MiddleClinoidProcess,6134,5813,316,30232
CorrugatorSupercilii,6134,5813,316,30232
EndocrineSystemPathology,6134,5813,316,30232
FusionReactor,65,30,30,160
TendonOfFlexorDigitorumProfundus,6134,5813,316,30232
KneeSign,6172,5851,316,30384
NAMEDHaematologicalProcess,31,16,10,66
CerivastatinSodium,42,24,14,98
Tower,32,18,10,73
RenalFascia,6135,5814,316,30235
nonGravid,15,11,0,33
MultipleLayersOfInertLaminarStructures,72,33,34,179
IncisingDevice,40,21,14,90
IntestinalInfection,6160,5839,316,30335
CongenitalVentricularHypoplasia,6157,5834,318,30322
HeartValveIncompetence,199,128,66,604
HalluxVarus,6145,5824,316,30273
Purifying,14,9,0,27
Oncology,16,12,0,36
IntrinsicallyPathologicalBodyStructure,50,30,16,135
FunctionalOvarianCyst,6135,5814,316,30235
AcarusFolliculorum,123,78,40,373
SkinCyanosis,6214,5883,326,30533
ExpressedSkullFracture,6190,5863,322,30435
GlycopyrroniumBromide,41,23,14,95
BNFSection2_3,64,35,24,169
BNFSection2_2,66,37,24,180
HaemorrhageSign,6220,5899,316,30588
Substance,27,13,10,57
TCellLymphoma,6214,5889,320,30559
BNFSection2_1,60,31,24,150
ProximalPartOfTibia,6134,5813,316,30232
BloodCarbonDioxideMeasuring,6228,5895,328,30600
BNFSection2_7,61,32,24,155
CellulitisLesion,178,103,70,569
BNFSection2_6,65,36,24,174
BNFSection2_5,68,39,24,189
BNFSection2_4,57,28,24,136
BetaAgonism,54,25,24,128
AndrogenToOestrogenConversionEnzyme,70,33,32,170
StriaAtrophicae,6136,5815,316,30239
TouchSystem,6135,5814,316,30236
HairyCellLymphocytosis,6176,5845,326,30377
BaseOfProstate,6134,5813,316,30232
MastoidPartOfTemporalBone,6134,5813,316,30232
PeruBalsam,58,32,22,138
CheckLigamentOfAxisVertebra,6135,5814,316,30237
MaltWhisky,70,33,32,175
OvarianVaricocoele,6201,5874,322,30487
Exhaustion,173,106,62,480
ComponentOfBrain,6134,5813,316,30232
SterotacticDevice,41,22,14,93
BoneOfMiddleEar,6134,5813,316,30232
FingerClubbingSymptom,236,155,76,699
NeuralInformation,12,8,0,23
AmnesiaSymptom,6159,5836,318,30332
CommonIliacVein,6134,5813,316,30232
HomozygousSickleCellDisease,6218,5885,328,30544
Tube,89,50,34,242
Protamin,31,17,10,69
SexChromosomeTrisomyKaryotype,42,24,14,101
AcamprosateCalcium,90,45,40,231
AnteriorBodyWall,104,53,46,270
OrnithodorosMoubataComplex,125,80,40,381
Bleomycin,41,23,14,95
MultipleNerves,6134,5813,316,30232
PleuralFibrosis,6160,5839,316,30336
OralLeukoplakia,6144,5823,316,30271
DrugDictionary,43,20,18,97
ReversiblyInhibiting,14,9,0,27
Desk,56,25,26,135
MicturitionWithPoorStream,6162,5831,326,30320
PerinealPain,6231,5910,316,30634
PhenindamineTartrate,41,23,14,95
FourthMetacarpal,6134,5813,316,30232
ThoracicVenaCava,6134,5813,316,30232
ComponentOfArmOrLeg,127,74,48,366
MagnesiumSulphateAsDrug,91,46,40,235
MastCell,6135,5814,316,30235
BNFSection2_9,57,28,24,136
BNFSection2_8,61,32,24,155
GastrointestinalSecretoryStudy,6189,5858,326,30448
Trimipramine,74,33,36,174
DietaryFibre,62,36,22,153
VeinOfUpperExtremity,6134,5813,316,30232
Erythromycin,74,33,36,174
Dysphasia,6151,5828,318,30295
PhysicalSign,100,49,46,256
NerveToQuadratusFemoris,6135,5814,316,30236
HairFollicle,48,30,14,124
AorticAtresia,6299,5966,328,30909
DentalDevice,64,29,30,157
Acrosoxacin,41,23,14,95
